SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.024315418999999998,87,0,109.0,,5,0,0,0,0.0
0,0.076086747,51,0,0.620088352,4300.0,18,0,1,0,0.0
0,0.36573074200000005,60,0,0.669504644,2583.0,11,0,2,0,0.0
0,0.981486243,44,0,2.205432937,2944.0,6,0,2,0,2.0
0,0.10955143199999999,48,1,0.247468076,9083.0,24,1,1,0,4.0
0,0.063581567,52,0,0.45938061,4455.0,6,0,1,0,0.0
0,0.135171721,60,0,0.021733995,8465.0,6,0,0,0,0.0
0,0.023118958,55,0,0.390198741,8100.0,9,0,3,0,0.0
0,0.0,50,1,0.32016893,17521.0,9,0,2,0,3.0
0,0.7940577670000001,52,0,0.5336081739999999,11157.0,49,0,1,0,0.0
0,0.9999998999999999,36,0,0.5133946420000001,2500.0,6,0,1,0,0.0
0,0.342746816,46,0,0.28367908,4000.0,9,0,1,0,1.0
0,0.60473099,37,0,0.459438677,2600.0,11,0,0,0,2.0
0,0.071276352,45,0,0.309555855,5200.0,6,0,1,0,0.0
0,0.035861038,73,0,0.259179266,4166.0,8,0,1,0,0.0
0,0.42494334200000006,48,0,0.283429143,4000.0,12,0,0,0,0.0
0,0.22982216100000002,41,0,0.021195761,5000.0,7,0,0,1,3.0
0,0.007789646999999999,58,0,1602.0,,4,0,1,0,
0,0.026358946,69,0,23.0,,4,0,0,0,0.0
1,0.9826730779999999,50,0,4186.0,,10,0,2,0,0.0
0,0.9999998999999999,65,0,1277.5,1.0,5,0,1,0,1.0
0,0.723915683,43,0,0.474640974,5500.0,11,0,0,0,3.0
0,0.10655104900000001,74,0,0.905039567,2400.0,13,0,0,0,0.0
0,0.9999998999999999,51,1,0.266717518,7865.0,9,0,2,0,0.0
0,0.218111561,38,0,1.329335332,2000.0,8,0,2,0,2.0
0,0.0,31,0,0.282976325,2660.0,6,0,1,1,0.0
0,0.091053244,61,0,0.441093151,6000.0,17,0,1,0,0.0
0,0.017204613,33,0,0.263578893,7750.0,5,0,1,0,1.0
0,0.003928478,63,0,0.0004993759999999999,8009.0,2,0,0,0,0.0
1,0.600179464,32,3,1144.0,,4,0,1,0,1.0
0,0.013799655,65,0,0.082228117,4900.0,7,0,0,0,3.0
0,0.13270938300000001,60,0,0.451592755,1600.0,4,0,0,0,0.0
0,0.433390166,51,0,0.428720809,5737.0,23,0,1,0,0.0
0,0.105645339,45,0,0.288777792,7600.0,7,0,1,0,1.0
0,0.064003696,82,0,1754.0,,15,0,1,0,0.0
0,0.27129480899999997,60,1,0.20835584399999998,5552.0,6,0,1,0,0.0
0,0.012347449,67,1,3373.0,,19,0,3,0,0.0
0,0.604348155,43,0,0.159668666,3500.0,7,0,0,0,0.0
0,0.437460549,45,0,0.356742258,4100.0,9,1,1,0,3.0
0,0.40616799,49,0,0.188710083,7953.0,9,0,0,0,1.0
0,0.02611354,60,0,0.250261155,6700.0,3,0,1,0,0.0
0,0.017560547,48,0,2685.0,,12,0,4,0,1.0
1,0.0077266869999999994,72,0,1.0200966679999999,3930.0,13,0,4,0,1.0
0,0.00252249,63,0,0.22515544899999998,9166.0,13,0,3,0,0.0
0,0.15705446,34,0,0.14969049,3553.0,7,0,0,0,2.0
0,0.7434848159999999,60,1,2825.0,,6,0,1,0,0.0
0,0.06389840299999999,47,1,0.120575885,5000.0,11,0,0,0,1.0
0,0.19642342100000001,47,1,0.40141155700000003,6800.0,9,0,1,0,0.0
0,0.020690365,47,1,7928.0,,14,0,5,0,0.0
0,0.082840763,77,0,55.0,,4,0,0,0,0.0
0,0.64352228,39,0,0.315609895,7033.0,7,0,2,0,0.0
0,0.006992412,67,1,0.000967638,9300.0,5,0,0,0,0.0
0,0.936003047,44,0,0.155335146,6250.0,3,0,0,0,1.0
0,0.04395604400000001,22,0,0.001218027,820.0,2,0,0,0,0.0
0,0.516921328,50,1,0.354162661,5200.0,22,0,0,0,0.0
0,0.004208628,37,1,3077.0,,6,0,1,0,0.0
0,0.016052813,39,0,3371.0,,12,0,2,0,0.0
0,0.560057598,71,0,647.0,,3,0,0,1,0.0
0,0.016389058,56,0,0.012658228,1500.0,10,0,0,0,0.0
0,0.9999998999999999,27,0,0.003271538,1833.0,0,0,0,0,0.0
0,0.28248952,33,1,1462.0,,6,1,2,2,0.0
0,0.085462161,40,0,0.227349639,6500.0,14,0,2,0,0.0
0,0.0,79,0,0.0,3500.0,6,0,0,0,0.0
0,0.21350771899999998,41,1,443.0,,16,0,0,0,0.0
1,0.878940155,52,0,0.595330739,8223.0,21,0,1,0,0.0
0,0.95476131,28,0,593.0,,4,0,0,0,0.0
0,0.074074074,57,0,0.522990211,10112.0,22,0,2,0,1.0
0,0.275456755,75,0,749.0,,8,0,1,0,0.0
0,0.771564767,49,0,0.424660795,4200.0,12,0,1,0,0.0
0,0.043017722,62,0,0.18644607100000002,22000.0,10,0,1,0,0.0
0,0.9999998999999999,78,0,0.037781109,3334.0,1,0,0,0,0.0
0,0.014027648,69,0,0.074493927,4939.0,13,0,0,0,0.0
0,0.0,63,0,0.14871711099999999,18356.0,7,0,1,0,2.0
0,0.0,55,1,0.186656267,33333.0,10,0,3,0,0.0
0,0.154331952,51,0,0.129224149,7900.0,9,0,1,0,2.0
0,0.775074655,70,0,0.43285976200000004,4363.0,7,0,1,0,0.0
0,0.00698789,58,0,845.0,,10,0,1,0,0.0
0,0.046773857,51,0,1.036991369,2432.0,7,0,2,0,3.0
0,0.036743554,37,0,6915.0,,21,0,3,0,3.0
0,0.02065048,67,0,0.005165805999999999,6000.0,6,0,0,0,1.0
0,0.0,37,0,3.2421441769999997,540.0,7,0,1,0,1.0
0,0.048063826,64,0,0.36239723100000004,4621.0,7,0,1,0,0.0
0,0.003645023,48,0,0.21188941100000003,9150.0,4,0,1,0,3.0
0,0.016161725,81,0,29.0,,6,0,0,0,0.0
0,0.9999998999999999,56,0,0.034321893,3000.0,1,0,0,0,0.0
0,0.107100899,60,0,2850.0,,7,0,1,0,0.0
0,0.0,66,0,69.0,,5,0,1,0,0.0
0,0.897350442,36,0,0.076124567,2600.0,4,0,0,0,0.0
0,0.257028573,48,0,0.242548077,4159.0,9,0,0,0,3.0
0,0.011116173,76,0,28.0,,5,0,0,0,0.0
0,0.0,59,0,3850.0,,16,0,3,0,0.0
0,0.22056898,37,0,0.30475124,6250.0,6,0,1,0,2.0
1,0.421942327,44,1,0.369968717,4794.0,7,1,1,1,1.0
0,0.199369773,80,0,49.0,,3,0,0,0,0.0
0,0.015611136000000001,45,0,0.137558634,9166.0,8,0,1,0,3.0
0,0.06457062599999999,78,0,0.24410078699999999,7500.0,7,0,2,0,0.0
0,0.018549956,72,0,0.008738061,4920.0,11,0,0,0,0.0
0,0.27649067899999996,59,1,0.152483391,3160.0,5,0,0,0,0.0
0,0.900919947,38,0,0.345231846,5714.0,8,0,0,0,3.0
0,0.6781194309999999,31,0,0.707844905,4435.0,9,0,1,0,2.0
0,0.378134884,66,0,0.23202171,3684.0,13,0,0,0,2.0
0,0.17790273,70,1,0.383067134,7700.0,13,0,2,0,0.0
0,0.01301974,47,0,0.00379924,5000.0,2,0,0,0,3.0
0,0.110424077,50,0,6.113124387999999,8167.0,7,0,1,0,0.0
0,0.031565442,69,0,838.0,,4,0,1,0,0.0
0,0.520558206,52,0,0.35754074700000005,9693.0,8,0,2,0,0.0
0,0.5794275720000001,27,0,0.370253165,3475.0,17,0,0,0,0.0
0,0.022144177999999997,58,0,0.60689885,6000.0,10,0,1,0,0.0
0,1.0163487740000001,30,0,513.0,,7,0,0,0,0.0
0,0.20450606600000001,45,0,0.234257975,7209.0,6,0,2,0,1.0
0,0.7211118590000001,55,0,0.722952866,10416.0,23,0,1,0,0.0
0,0.05992167599999999,59,0,0.439417269,8442.0,13,0,2,0,1.0
0,0.015497381999999999,72,0,0.590049054,2853.0,11,0,1,0,0.0
0,0.157429844,58,1,0.31528344,13000.0,16,0,1,0,0.0
0,0.854518185,55,0,0.348428036,10400.0,7,0,2,0,0.0
0,0.100544384,65,0,27.0,,2,0,0,0,0.0
1,0.998423508,55,0,0.620213911,15800.0,10,0,2,0,0.0
0,0.36986790399999997,23,0,31.0,,2,0,0,0,0.0
0,0.001999925,47,1,470.0,1.0,9,0,2,0,4.0
0,0.6801066309999999,43,0,0.512897421,3333.0,8,0,1,0,0.0
0,0.044950391,55,0,2768.0,,8,0,2,0,3.0
0,0.217204625,36,0,1919.0,,9,0,1,0,3.0
0,0.609033621,42,0,0.311413969,5869.0,8,0,0,0,3.0
0,0.610959269,46,0,0.292151809,11250.0,4,0,3,0,2.0
0,0.0,57,0,114.0,,10,0,0,0,0.0
0,0.064355126,37,0,2892.0,,8,0,2,0,0.0
0,0.684798589,26,0,501.0,,3,0,0,0,0.0
0,0.001197392,72,0,3830.0,,9,0,3,0,0.0
1,0.9999998999999999,32,0,0.026263165,7500.0,3,1,0,0,0.0
0,0.8798826820000001,57,1,0.251874063,2000.0,3,0,0,0,0.0
0,0.16337034,39,0,0.395017794,5900.0,8,0,2,0,1.0
0,0.253387331,43,0,0.028496438,5333.0,1,0,0,0,0.0
0,0.090729221,60,0,0.45097687799999997,5578.0,9,0,1,0,1.0
0,0.19855914800000002,55,2,0.77991453,6083.0,12,0,2,0,2.0
0,0.9999998999999999,25,0,0.11953352800000001,2400.0,1,0,0,0,1.0
0,0.0,62,0,0.589041096,2700.0,6,0,1,0,0.0
0,0.036171722999999996,40,0,0.009865351,7500.0,4,0,0,0,3.0
0,0.084352594,66,0,0.07574536700000001,2481.0,10,0,0,0,0.0
0,0.120643968,33,0,0.574794716,2800.0,4,0,2,0,0.0
0,0.271222139,43,0,0.367922934,11833.0,10,0,2,0,0.0
0,0.122464226,72,0,0.015582488,4042.0,4,0,0,0,0.0
0,0.021418746000000002,76,0,0.006344934,5200.0,4,0,0,0,1.0
0,0.32639128300000003,39,0,749.0,1.0,6,0,1,0,2.0
0,0.330626226,41,0,0.267218623,8333.0,7,0,1,0,1.0
0,0.334115155,37,2,0.35426237899999996,1958.0,8,0,0,0,0.0
0,0.03179841,32,0,0.16920769800000002,4000.0,11,0,0,0,0.0
0,0.5295168029999999,45,0,0.560221989,6666.0,10,0,2,0,0.0
0,0.005987364,67,0,0.00419916,5000.0,10,0,0,0,0.0
0,0.072182249,38,0,0.36072785399999996,5000.0,7,0,1,0,3.0
0,0.0,48,0,0.244309959,7600.0,14,0,1,0,1.0
0,0.040761415,63,0,105.0,,12,0,0,0,
0,0.482744749,34,0,932.0,,4,0,0,0,1.0
0,0.048365054000000005,55,0,285.0,,4,0,0,0,0.0
0,0.8634230490000001,65,0,4697.0,,17,0,0,0,2.0
0,0.9999998999999999,64,0,395.0,,1,0,0,1,0.0
0,0.595800233,42,1,0.517901453,2820.0,4,0,1,0,2.0
0,0.9999998999999999,46,2,0.7926727729999999,1200.0,3,2,1,1,3.0
0,0.108480265,58,0,0.39859320000000004,2558.0,6,0,1,0,0.0
0,0.12206712199999999,55,0,897.0,,7,0,2,0,2.0
0,0.089437271,48,0,0.552978808,5001.0,14,0,2,0,4.0
0,0.807705824,51,0,0.477252275,10000.0,12,0,2,0,1.0
0,0.0,36,0,0.10805908300000001,3858.0,3,0,1,0,2.0
0,0.448646174,43,0,0.2173417,1752.0,4,0,0,0,0.0
0,0.03509649,47,0,255.0,,4,0,0,0,0.0
0,0.44282984799999997,39,1,0.951219512,2992.0,4,0,1,0,2.0
0,0.152825079,54,2,0.35117118799999997,10800.0,18,0,2,0,2.0
1,0.08514305400000001,43,0,7.0,,1,1,0,1,0.0
0,0.36572111700000004,40,0,0.039230479,2650.0,5,0,0,0,1.0
0,0.007664860999999999,42,0,0.064223386,8594.0,4,0,0,0,2.0
0,0.200660586,34,0,2830.0,,8,0,2,0,0.0
0,0.149963622,48,0,0.39523023799999996,13333.0,8,0,1,0,0.0
0,0.084535372,67,0,55.0,,5,0,0,0,0.0
0,0.008525867,34,0,0.049606017,5583.0,8,0,0,0,0.0
0,0.12963875800000002,25,2,0.051189762,5000.0,9,0,0,1,1.0
1,0.6294820720000001,30,0,4094.0,,7,0,3,0,0.0
1,1.112273147,49,1,0.33139050800000003,1200.0,4,0,0,0,2.0
0,0.933008946,52,1,0.467559648,21500.0,12,0,4,0,0.0
0,0.9999998999999999,80,0,0.463896104,1924.0,5,1,1,0,0.0
0,0.014258644,78,0,0.11037735800000001,4239.0,8,0,0,0,0.0
1,0.84180791,43,3,0.44231570200000003,2400.0,5,0,0,0,0.0
0,0.017636813,69,0,0.018691588999999998,3958.0,11,0,0,0,0.0
0,0.002707774,48,0,3997.0,,8,0,1,0,
0,0.0,29,0,0.0,2900.0,4,0,0,0,0.0
0,0.40269718600000004,51,2,0.184437028,5692.0,5,0,0,0,3.0
1,0.326416514,44,0,0.358511525,3600.0,11,0,0,0,0.0
0,0.0,81,0,0.0,,4,0,0,0,0.0
0,0.048632523,58,0,2793.0,,11,0,1,0,0.0
0,0.8430637390000001,45,1,960.0,,10,0,1,1,1.0
0,0.636629703,45,1,0.525286868,4705.0,11,0,1,0,2.0
0,0.9999998999999999,41,0,0.255565863,2155.0,3,0,1,0,1.0
0,0.32078877899999997,73,0,0.6597462510000001,2600.0,7,0,1,0,0.0
0,0.000730957,64,0,23.0,,20,0,0,0,0.0
0,0.23901984399999998,56,0,0.364987797,4506.0,9,0,1,0,3.0
0,0.458251507,61,0,2240.0,,11,0,2,0,0.0
0,0.069294143,68,0,106.0,,4,0,0,0,0.0
0,0.44125267,38,0,0.8834853090000001,2960.0,8,0,2,0,4.0
0,0.032720404,72,0,17.0,,7,0,0,0,
0,0.036235705,64,0,0.09495569699999999,14332.0,5,0,1,0,0.0
0,0.159823944,63,0,828.0,,6,0,1,0,0.0
0,0.20350206699999998,52,0,0.062566278,6600.0,6,0,0,0,1.0
0,0.031659367,60,0,0.170069855,7443.0,11,0,1,0,3.0
0,0.9999998999999999,75,0,2591.0,,9,0,2,0,0.0
0,0.005912265,50,0,0.363751184,9500.0,8,0,1,0,4.0
0,0.08900446099999999,63,0,0.108294585,6666.0,5,0,1,0,0.0
0,0.710675906,44,0,2204.0,,5,0,1,0,2.0
0,0.9999998999999999,33,0,0.0,3375.0,1,0,0,0,3.0
0,0.10425358,52,0,3807.0,,8,0,2,0,1.0
0,0.9999998999999999,63,0,0.17680237899999998,9750.0,7,0,2,0,1.0
0,0.5108811879999999,39,3,3.702552719,900.0,25,0,1,0,0.0
0,0.25615923399999996,61,0,0.40276124700000004,4200.0,11,0,0,0,0.0
0,0.118939459,48,0,0.540762614,7788.0,5,0,3,0,5.0
0,0.48500345799999994,35,2,0.792488517,3700.0,14,0,2,0,2.0
0,0.17916416699999999,41,1,0.830141549,1200.0,4,0,2,0,0.0
0,0.0,68,0,0.0,,3,0,0,0,
0,0.065751626,59,0,0.191137045,19022.0,10,0,2,0,2.0
0,0.043865673,46,0,0.143952141,5348.0,10,0,1,0,0.0
0,0.770191507,24,0,0.141868512,2600.0,3,0,0,0,0.0
0,0.015232204,41,0,0.146155245,5500.0,9,0,0,0,4.0
0,0.067191828,73,0,4693.0,,8,0,2,0,0.0
0,0.018375646000000002,59,0,0.008951528,10500.0,16,0,0,0,0.0
0,0.583731772,63,1,2394.0,,7,0,0,0,1.0
0,0.417991292,47,1,0.427618806,11846.0,17,0,4,0,1.0
1,0.9999998999999999,50,4,2432.0,,7,0,2,1,3.0
0,0.10694733,56,0,1.244889988,7680.0,22,0,3,0,1.0
0,0.963969062,34,0,0.386666667,4049.0,7,0,1,0,2.0
0,0.32016749,51,0,0.21199547300000002,2650.0,3,0,1,0,0.0
0,0.9511755359999999,52,0,2695.0,,24,0,0,0,1.0
0,0.15698953400000001,57,0,0.015264466,5633.0,6,0,0,0,0.0
0,0.045347797999999995,35,0,0.17598400100000003,11000.0,14,0,1,0,0.0
1,0.156745116,33,0,1.156445267,4320.0,8,0,2,0,0.0
1,0.0,39,0,0.039619165,3255.0,1,7,0,0,0.0
0,0.006816846999999999,67,0,0.416597234,6000.0,13,0,3,0,0.0
0,0.016075623,81,0,0.018502944,2377.0,10,0,1,0,0.0
0,0.038512162,44,1,0.090272763,18000.0,10,0,2,0,1.0
0,0.731925765,65,0,0.41609719100000003,3950.0,10,0,0,0,0.0
0,0.23987476,52,0,0.55381413,8166.0,13,0,2,0,0.0
0,0.9999998999999999,29,0,0.0,2800.0,1,0,0,0,0.0
0,0.183049785,35,0,0.057859880999999995,5737.0,11,0,0,0,1.0
0,0.016207658,64,0,0.320419895,4000.0,5,0,1,0,0.0
0,0.044177802,90,0,13.0,,4,0,0,0,
0,0.9999998999999999,53,0,0.0,,6,0,0,0,0.0
0,0.370349005,48,1,0.87807928,7996.0,9,1,4,0,3.0
0,0.014306857,31,0,0.521194348,3750.0,6,0,2,0,1.0
0,0.09259139,60,0,0.34714762299999996,17686.0,6,0,1,0,0.0
0,0.9999998999999999,43,0,0.9360942520000001,2800.0,6,0,2,0,0.0
0,0.09167036099999999,33,0,2.021978022,1000.0,5,0,1,0,0.0
0,0.12215207199999999,70,0,0.08748541900000001,6000.0,5,0,0,0,0.0
0,0.36970421,53,2,1.364978195,2980.0,13,1,4,0,0.0
0,0.015699477,60,0,0.590939374,1500.0,3,0,1,0,0.0
0,0.055420351,59,1,2215.0,,8,0,1,0,0.0
0,0.056351284,70,0,0.224481152,7082.0,7,0,2,0,0.0
0,0.7700388000000001,63,1,0.58612814,8318.0,15,0,2,0,1.0
0,0.9999998999999999,56,98,0.0,7781.0,0,98,0,98,5.0
0,0.09860954,48,0,0.26446281,3750.0,5,0,1,0,0.0
0,0.99000999,35,1,1254.0,,10,1,0,0,0.0
0,0.002352757,27,0,0.16793282699999998,2500.0,7,0,0,0,0.0